Word,English Translation / Meaning,Sentence / Phrase (Kankanaey),Sentence / Phrase (English),POS,662
makipika,to get up with,,,VERB,
makiragsak,to join the happiness,,,VERB,
makisongsongbat,to argue with,,,VERB,
makitaltalon,to farm with,,,VERB,
makitawid,to inherit with,,,VERB,
makitee,to live with,,,VERB,
makitetee,living with,,,VERB,
makitokdo,to sit with,,,VERB,
makitolag,to have an agreement with,,,VERB,
makneg,hard,,,ADJ,
makosokos,crumpled,,,VERB,
makpit,wither,,,VERB,
makwani,determiner/to call,Yan san makwani ay togi,what they call sweet potato,VERB,
malabi,tonight,,,NOUN,
malablabas,passing by,,,VERB,
malablabi,getting late,,,VERB,
malaklakoan,to buy,,,VERB,
malaksig,unless,,,SCONJ,
malalagip,remembering,,,VERB,
malames,fat,,,ADJ,
maligatan,struggle,,,NOUN,
maligligatan,struggling,,,VERB,
malinglingan,forgetting/forget,San panag-isem mo yan adak malinglingan.,The way you smiled is something i cannot forget.,VERB,
malinisan,to be cleaned,,,VERB,
malitaw,to be lost,,,VERB,
mallokong,bowl,,,NOUN,
malmaliget,getting angry,,,VERB,
mamadang,to help,,,VERB,
mamadas,to try,,,VERB,
mamadbadang,helping,,,VERB,
mamaga,to lose,,,VERB,
mamagbaga,to give advice,,,VERB,
mamakawan,to forgive,,,VERB,
mamalod,to imprison,,,NOUN,
mamalpaligat,to make it difficult,,,VERB,
mamanbantay,to guard,,,VERB,
mamanol,to value,,,VERB,
mamaos,to curse,,,VERB,
mamati,to believe,"Enggana edwani , wada ladta mamati si aanito","Until now, some people still believe in ghosts.",VERB,
mamatiak,i believe,,,VERB,
mamatpati,believing,,,VERB,
mamgaan,to dry,,,VERB,
mamindisyon,to bless,,,VERB,
mamingpingsan,at once,,,ADP,
mamingsan,once / sometimes,Nu mamingsan mamagmaga din layad para en sika,"Sometimes, my love for you is fading.",ADV,
mamitlo,thrice,,,NOUN,
mamonbonyag,baptizing,,,VERB,
mamoyboya,to watch,,,VERB,
man-asipoot,to confirm to be true,,,VERB,
man-ilaklako,selling,,,VERB,
man-ili,living in the community,,,VERB,
manabtabokol,net fishing,,,ADJ,
manadael,to destroy,,,VERB,
managbasol,sinner,,,NOUN,
managlayad,loving,,,VERB,
managseg-ang,compassionate,,,ADJ,
managtag,runner,,,ADJ,
managtagtag,running,,,VERB,
managtongpal,obedient,,,ADJ,
manang,older sister,"Simpli ay biyag di nilayad ko, managtungpal sin napoak ya sin ili tako ta makwani ay nalinteg ay anak, manang-eset ay ib-a ya natulnog ay umili.","I had a simple goal in life: to be true to my parents and our country as an honorable son, a caring brother, and a good citizen.
",ADJ,
manaydayaw,praise,,,NOUN,
manbabawi,regretting,,,VERB,
manbado,to wear,,,VERB,
manbalanga,red,,,ADJ,
manbalbaliw,changing,,,VERB,
manbalin,possible,"Adak nilayad ay manbalin ay simbolon di pag-asa, ya tawiden di poloblema di ili tako.
","I never entertained the ambition to be the symbol of hope, and to inherit the problems of our nation.",ADJ,
manbanbantay,guarding,,,VERB,
manbantay,guarding,,,VERB,
manbasbasol,committing a sin,,,VERB,
manbasol,commit a sin,,,VERB,
manbayad,pay,,,VERB,
manbeey,live,,,ADJ,
manbibiyag,living,,,VERB,
manbidbidang,blazing,,,VERB,
manbigaw,to shout,,,VERB,
manbilbilang,counting,,,VERB,
manbinadang,help each other,,,VERB,
manbiyag,live,,,ADJ,
manbo,to wash,,,VERB,
manbogaw,shout,,,VERB,
manbogbogaw,shouting,,,VERB,
manbolod,to borrow,,,VERB,
manbonbonag,carrying,,,VERB,
mandaag,to stay beside,,,VERB,
mandagaang,hungry,,,ADJ,
mandalangdang,reddish,,,ADJ,
mandan,walk,Ngem san kanak ay ta mandan tas esay agew ya kadudwa,"But as I said, we will walk for a day and a half.",VERB,
mandanag,worry,,,VERB,
mandayaw,praise,,,NOUN,
mandaydayaw,praising,,,VERB,
mandeges,to rain heavily,,,VERB,
mandengdenge,listening,Adi ka mandengdenge,Your not listening,VERB,
mandenge,listen,Mandenge ka tan mankalkali si maestro.,Listen because our teacher is talking.,VERB,
mandinamag,ask each other,,,VERB,
mandindinamag,asking each other,,,VERB,
mandowadowa,doubt,,,VERB,
manemnem,remember,,,VERB,
manemneman,to think about,,,VERB,
mangaan,get from,,,VERB,
mangabak,win,kamannak mangab-abak,It looks like I am winning,VERB,
mangabat,meet,,,VERB,
mangadanan,to name someone,,,VERB,
mangadkadwa,accompany,,,VERB,
mangagas,treat,,,VERB,
mangakew,steal,,,VERB,
mangamag,will do/good,Piyan jan maishom si gobyerno say ira manserbi tan mangamag ni majat.,They joined government to serve and do good.,VERB,
mangammo,know,,,VERB,
mangan,eat,Mangan tako.,Let us eat.,VERB,
manganap,find,,,VERB,
manganop,hunt,,,NOUN,
mangasaba,preach,,,NOUN,
mangasawa,marry,man-anap kas oblam asikan pay mangasawa,You look for a job before you get married.,VERB,
mangaskasaba,preaching,,,VERB,
mangawat,receive,,,VERB,
mangawis,convince,,,NOUN,
mangay-ayowan,taking care,,,VERB,
mangayag,call,,,VERB,
mangayowan,take care,,,VERB,
mangdayaw,praise,,,NOUN,
manggen,will carry,,,VERB,
mangibaa,will ask,,,VERB,
mangibaba,will move down,,,VERB,
mangibabawi,will retrieve,,,VERB,
mangibaes,will take revenge,,,VERB,
mangibaga,will say,,,VERB,
mangibagbaga,saying,,,VERB,
mangibilang,will include,,,VERB,
mangibogaw,will shout,,,VERB,
mangibogbogaw,shouting,,,VERB,
mangibolos,will free,,,VERB,
mangidadaan,passing by,,,VERB,
mangidarum,will sue,,,VERB,
mangidatdaton,to offer with,,,VERB,
mangidaton,to offer,,,VERB,
mangidawat,will give,,,VERB,
mangidawdawat,giving,,,VERB,
mangidayaw,will praise,,,VERB,
mangidaydayaw,praising,,,VERB,
mangiet,will tighten,,,VERB,
mangiey,will bring,Naibaa sisya ay mangiey san makan ed payew.,He was asked to bring the foof in the fields.,VERB,
mangikanta,will sing,,,VERB,
mangikararag,will pray,,,VERB,
mangikari,will promise,,,VERB,
mangikarkararag,is praying,,,VERB,
mangikasaba,will preach,,,VERB,
mangikaskasaba,is preaching,,,VERB,
mangikaskaso,is suing,,,VERB,
mangikeddeng,to finish,,,VERB,
mangikoyog,will bring along,,,VERB,
mangil-ila,is seeing,,,VERB,
mangila,will see,No laydem et ay mangila,If you want to see,VERB,
mangilasin,will recognize,,,VERB,
mangilawag,will expound,,,VERB,
manginom,alcoholic,,,ADJ,
mangipaammo,to inform,,,VERB,
mangipabasol,to blame,,,VERB,
mangipaila,to show,,,VERB,
mangipakaan,to remove,,,VERB,
mangipalawlawa,to  widened,,,VERB,
mangipanemnem,to remind,,,VERB,
mangipango,to direct,,,VERB,
mangipangolo,to lead,,,VERB,
mangipangpango,leading,,,VERB,
mangipapasnek,perseverance,,,NOUN,
mangiparagsak,happiness,,,NOUN,
mangipateg,to value/ to cherish,,,VERB,
mangipodno,to say the truth,,,VERB,
mangipolang,to inform,,,VERB,
mangisagana,to prepare,,,VERB,
mangit-ek,will show off,,,VERB,
manglayad,to love,Mannemnemnem ak nu sinun iyat ko ta manglayad ka.,I am thinking about what to do to make you love me.,VERB,
manglaylayad,loving,"Pangaasim, umali ka kad ay pasaldengen san pusok ay manglaylayad ken sika.",Please come and stop my heart from loving you.,VERB,
manglinis,to clean,,,VERB,
mangmangan,eating,,,VERB,
mangmangwani,saying,,,VERB,
mangonod,who follow,,,VERB,
manipod,eversince,,,NOUN,
manipud,starting from,"Manipud san nan-am-amuan ta, inagew ay mail-iliw ak ken sik-a.","Starting from when we first met, I am missing you everyday.",VERB,
mankadwa,accompany,Mankadwa ka kad ed sidi.,Accompany me there.,VERB,
mankalkali,to harvest/ Saying,Mandenge ka tan mankalkali si maestro.,Listen because our teacher is talking.,VERB,
mankalkali,is talking,Mandenge ka tan mankalkali si maestro.,Listen because our teacher is talking.,VERB,
mankampo,set up camp / stay,Mankampo da ed bilig.,They will set up camp in the forest.,VERB,
mankankanta,is singing,Mankankanta si iyogtan ed ngato.,My younger sibling is singing upstairs.,VERB,
mankanta,sing,Mankanta ka kod si kantan Bon Jovi.,You sing a song by Bon Jovi.,VERB,
mankararag,pray,Mankararag ka ken Apo.,You pray to the Lord.,VERB,
mankarkararag,is praying,Ay mankararag ka ken Apo?,Are you praying to the Lord?,VERB,
mankasal,conduct a wedding,Mankasal da ed simbaan.,They will conduct their wedding at the church.,VERB,
mankedaw,to ask for,,,VERB,
mankedkedaw,is asking for / requesting,Mankedkedaw sisya ken ama na si siping.,He is asking his father for money.,VERB,
mankido,thunder,Sumaa tako tan nay mankido.,Let's go home as ther will be thunder soon.,NOUN,
mankilat,white,sin kanan da en mankilat ay balasang,The maiden they call fair-skinned.,ADJ,
mankinontra,against each other,Mankinontra da begew din politika.,They are against each other because of politics.,ADJ,
mankokoyog,together,Mankokoyog da ay amey ed bilig.,They go to the forest together.,ADV,
mankolang,lacking / not enough,Itapim et tan baka mankolang.,Add it as it might not be enough.,VERB,
mankoyog,go together,,,VERB,
manladingit,grieve,,,VERB,
manladladingit,grieving,Manladladingit han pamilya tan inpolang ama da din biyag na ken Apo.,The family is grieving as their father returned his life to the Lord.,VERB,
manlako,will buy,,,VERB,
manlakos,buy,Enka manlakos maipangan.,Go and buy something to eat.,VERB,
manlaylayad,loving,"Anya ngay, wat ak esa lang ay manlaylayad ken sika.","What can I do, I am just someone loving you.",VERB,
manleplepyas,overflowing,Ilkep mu et han gripo tan manleplepyas han danum.,Close the faucet as the water is overflowing.,VERB,
manligat,struggle,Manligat umuna asipy maala din layden.,Struggle first before getting what you want.,NOUN,
manligligat,struggling,Nay manligligat ak py sina yan wat kan mangasisiyek mu?,Here I am struggling and you are just laughing?,VERB,
manlikliked,roaming around,,,VERB,
manlilinayad,loving each other,Manpamilya tako isunga manlilinayad tako.,We are a family so we should be loving each other.,VERB,
manlinayad,love each other,"Ngan naiyat, kanak nu manlinayad ta?","What happened, I thought we love each other?",VERB,
manlobwat,depart,Sinoy oras ka ay manlobwat py?,What time will you depart?,NOUN,
manlogan,ride,Ay manlogan kan bus wennu van?,Will you ride a bus or a van?,VERB,
manlogi,start,"Ngan iyat ko pay, nay manlogi ay mailiw ak ken sika.","What should I do, I am now starting to miss you.",VERB,
manluluwa,tearing up,Manluluwa san mata ay mang-ila ay mangtaynan ka.,My eyes are tearing up as I watch you leave me.,VERB,
manmandan,walk,Manmandan kami ay emey sisa.,We will walk to your place.,VERB,
manmola,plant,Manmola ka edwani ta wada sam apiten.,Plant now so you have something to harvest later.,NOUN,
mannamnama,hoping,Manamnama ak ay sumubli ka ken saken.,I am hoping that you come back to me.,VERB,
mannemnem,think,Mannemnem ka kod bu usto yayaat mu sana.,Think about whether what you are doing is right.,VERB,
mannemnemnem,thinking,Mannemnemnem ak nu sinun iyat ko ta manglayad ka.,I am thinking about what to do to make you love me.,VERB,
manngadan,named,Sinon manngadan si Vic ken dakau?,Who is named Vic among you?,VERB,
manngalawngaw,make noise,Adi kayo manngalawngaw abe sa.,Don't make noise there.,VERB,
manobalit,reciprocate,,,VERB,
manolisog,tempt,Adyam abe manolisog ay amey man-inom.,Don't tempt me to go drink.,VERB,
manongbat,answer,,,VERB,
manongpal,obey,,,VERB,
manongtongpal,obeying,Sisya lang manongtongpal san ibagbagam yan pagat mu lalasoyen sisya mu.,"He is the only one obeying what you are saying, yet why are you treating him that way.",VERB,
manpaila,appear / show up,"Pasensya han inamag ko, manpaila ka et adi.","I apologize for what I did, please show up.",VERB,
manpait,bitter,Manpait han parya.,The bittergourd is bitter.,ADJ,
manpakaasi,beg,Manpakaasi ka adi ta pakawanen na sika.,Why don't you beg for her to forgive you.,VERB,
manpakombaba,humble,Kanayon ay manpakombaba tako.,Let us always be humble.,ADJ,
manpakpakaasi,begging,Mapakpakaasi ak ta umidwat kas esa pylang ay chansa.,I am begging you for another chance.,VERB,
manpalpaligat,making things difficult,Sika han manpalpaligat din awak mu.,You are the one makng things difficult for yourself.,VERB,
manpalti,butcher,Manpalti da si manok.,They will butcher a chicken.,NOUN,
manparis,pair / match,Manparis han bado na.,His clothes are a pair.,NOUN,
manpasyal,visit,Enta manpasyal ed ili kad una.,Let us visit our hometown first.,VERB,
manpatingga,limit,Adi manpatingga nan layad ko ken sika.,My love for you has no limit.,VERB,
manpatolong,ask for help,Enka manpatolog ken manong mu.,Go ask your elder brother for help.,VERB,
manpayegpeg,shiver / shake,Manpayegpeg nan awak sinan tangnin.,My body shivers due to the cold.,VERB,
manpese,kill,,,VERB,
manpili,choose,Manpili kas mayat ay maamag.,Choose something good to do.,VERB,
manplano,plan,Manplano kat nu ngan maamag si bigat.,You plan what to do tomorrow.,NOUN,
manragragsak,enjoying,Mayat tan nay manragragsak tako.,It is good that we are enjoying.,VERB,
manragsak,enjoy,,,VERB,
manriri,complain,Adyam abe manriri sa.,Don't complain.,VERB,
mansagana,prepare,Mansagana ka et ta amey tat.,"Prepare yourself, we're going now.",VERB,
mansagong,return,Mansagong ak tan dey wada tinaynak.,I will return as I left something.,VERB,
mansakit,hurt / painful,Mansakit nan pusok.,My heart hurts.,NOUN,
mansaksakit,hurting / sick,Mansaksakit sisya.,He is sick.,VERB,
mansala,dance,Aped kayo adi mansala mo?,Why don't you dance?,NOUN,
mansalodsod,ask,Mansalodsod ka ud ay ta adjam kananemnem.,Why don't you ask so you don't keep thinking about it.,VERB,
mansapata,take an oath,Inmali ak ay mansapata.,I came here to take an oath.,VERB,
mansasadot,sad / lonely,Mansasadot ak tan tinmaynan ka.,I am sad because you left me behind.,ADJ,
mansasagana,be prepared,Mansasagana ka tan sika di sumaruno,Be prepared because you are the next,VERB,
manseseed,waiting,Wada iman din babarkadam ay manseseed ed ruwar,Your friends are waiting outside,VERB,
mantabon,to hide,Enka et mantabon,Go and hide,VERB,
mantagtagay,drinking,Wada si manong mo mantagtagay ed store,Your brother is drinking in the store,VERB,
mantalek,to trust,Mantalek ka gamin en sak-en,Just trust me,VERB,
mantaltalek,believing,,,VERB,
mantauli,to return/comeback,Kaanu ka pay mantauli?,When will you return,VERB,
mantaytayaw,flying,Mantaytayaw san kuyat ed pantew,The bird is flying outside,VERB,
mantee,to settle/ stay,Mantee da kanu ed siudad,They said that they will stay in the city,VERB,
mantetee,residing,Mantetee da ed Baguio,They are residing at Baguio,VERB,
mantika,cooking oil,,,NOUN,
mantikid,to go up,,,VERB,
mantistigo,to witness,,,VERB,
mantogtog,to knock,,,VERB,
mantokar,to play instruments,,,VERB,
mantoltoloy,continuing,,,VERB,
mantongpal,must be followed,,,VERB,
manwingi,to side glance,,,VERB,
manyegyeg,shook,,,VERB,
maod-odi,getting too late,,,VERB,
maodi,too late,,,ADV,
maomas,to melt/to fade,,,VERB,
maoolnos,often arrange/fix,,,VERB,
maosal,to be used,Enmo et alan din maosal ta rugyan tako,Go and get the things to be used so we can start,VERB,
mapakawan,to be forgiven,Iyat mo pay iman ay mapakawan nu kanaun ay iiyat mu sa,How can you be forgiven if you are doing that repeatedly,VERB,
mapalti,to be butchered,,,VERB,
mapat-a,dawn of tomorrow,,,NOUN,
mapmapteng,nice/beautiful,,,ADJ,
mapnek,satisfied,Mapnek ka gamin si wadan sik-a,You should be satisfied with what you have,ADJ,
mapno,full,Ilikep mo din gripo nu mapnu din drum,Turn off the faucet when the drum is already full,ADJ,
mapo,come from,,,VERB,
masapa,early,Masapa ka si bigat,Be early tomorrow,ADV,
masapol,should,Masapol malpas mo sa,You should finish that,AUX,
masdaaw,surprise,,,NOUN,
masdem,afternoon,No masdem yan pag tan nabbay.,Tiredness is felt every afternoon.,NOUN,
masepsep,to get worse,,,VERB,
masepsepsep,worsening/getting worse,,,VERB,
maseseyep,sleeping,,,VERB,
maseyep,sleep,,,NOUN,
masinop,gather,,,VERB,
masirib,wise,,,ADJ,
masmasadot,bored,,,VERB,
masmasdaaw,shock/amazed,,,NOUN,
masmasdem,evening,,,NOUN,
masokatan,change,,,VERB,
masoksokatan,changing,,,VERB,
masolisog,deceive,,,NOUN,
masolsolisog,deceiving,,,VERB,
masukatan,to be replaced,,,VERB,
mata,eye/eyes,Manluluwa san mata ay mang-ila ay mangtaynan ka.,My eyes are tearing up as I watch you leave me.,NOUN,
matago,to live,,,VERB,
matagotago,to live longer,,,VERB,
mataktak,disturb,,,VERB,
matalek,trusted,Matalek baw iman si ading mo,Your younger sibling can be trusted,VERB,
matapian,to be added/increased,,,VERB,
mataptapian,will be added/increased,,,VERB,
mataynan,to be left behind,Ulay et saken di mataynan,I'm the one to be left behind,VERB,
matekdag,to fall,Bantayam sa ta adi matekdag,Watch over that so that it is not going to fall,VERB,
matenaw,melt,,,VERB,
matey,die,,,VERB,
matmatago,living,,,VERB,
matmatey,dying,Matmatey din pusa,The cat is dying,VERB,
matokang,fall down,Badangam sisya ta adi matokang,Assist her so she won't fall down,VERB,
mawada,sudden appearance,,,ADJ,
mawayaan,free time,,,ADJ,
mayat,nice/fine,Mayat met nak pan-yasyas.,I'm breathing fine.,ADJ,
maymayat,better,,,ADV,
met,indeed,Linayad ko sika ngem nay nangtaynan ka met.,i loved you but you left me.,ADV,
milagro,miracle,,,NOUN,
minasdem,every afternoon,Minasdem ka ay bumala,You are going out every afternoon,NOUN,
mokat,hardened tears,,,VERB,
mola,crop,,,NOUN,
molmola,crops,,,NOUN,
mostasa,mustard,,,NOUN,
moyang,baby,,,NOUN,
naabak,lost/defeated,Naabak ak sin ay ayam,I lost the game,VERB,
naabos,nothing is left,,,VERB,
naadal,learned,,,VERB,
naagasan,got healed,,,VERB,
naakewan,victim of theft,Naakewan da si siping ed nalabi.,A thief stole their money last night.,NOUN,
naaladan,put a fence around,,,VERB,
naaltian,decorated,,,VERB,
naamag,was done,Naamag et din ibagbagam,Your request was done,VERB,
naamagan,where made,,,VERB,
naammoan,found out/learned,Naamoan na et din sekretom,She found out about your secret,VERB,
naamo,friendly / easy to tame,Naamo san uken,The puppy was easy to tame,ADJ,
naanapam,you found,Ay naanapam et din danan,Have you found the way,VERB,
naannad,careful,,,ADJ,
naanos / naanus,kind,,,ADV,
naatongan,burned,,,VERB,
naawatan,understood,Ay naawatan yo din inbaga da,Have you understood what they said,VERB,
naayagan,called,Naayagan kayo ed kawni,You were called earlier,VERB,
nababa,low,,,ADJ,
nabakas,damaged/destroyed,Nabakas din bubong idi lemlem,The roof was destroyed during the typhoon,VERB,
nabakes,mature woman/old woman,,,ADJ,
nabaknang,rich,Nabaknang da,They were rich,ADJ,
nabalo,widow,,,NOUN,
nabanbanol,more valuable,Nabanbanol na nu din nilakuam,This is more valuable that the one you bought,ADJ,
nabanglo,fragrant,Nabanglo din sabon,The soap was fragrant,ADJ,
nabanobanol,most valuable,,,ADJ,
nabanol,valuable,Nabanol din uway ay inyali na,The necklace he gave me was valuable,ADJ,
nabaon,ancient time,,,ADJ,
nabayag,long ago,,,ADV,
nabbay,tired,No masdem yan pag tan nabbay.,Tiredness is felt every afternoon.,ADJ,
nabbay,tired,Nabbay da ay en nangan anap en sika,They were tired looking for you,ADJ,
nabeteng,scared,,,VERB,
nabeweg,to come/go in group,,,VERB,
nabigaw,thirsty,"Painomem sa, way nabigaw.","Let him drink, he might be thirsty",ADJ,
nabisngit,torn,Nabisngit din bado ay inusal na,The cloth she wore was torn,VERB,
nabobokatan,left opened,Nabobokatan din segpan ed beey,The door at home was left opened,VERB,
nabokatan,opened,Nabokatan din kalton,The box was opened,VERB,
nabonyagan,baptized,Nabonyagan sisya ed kubaban,She was baptized yesterday,VERB,
nabsog,full,Nabsog da amin,They were all full,ADJ,
nadadael,destroyed,,,VERB,
nadadaelan,to destroy,,,VERB,
nadagsen,heavy,Nadagsen din kalga ay inawit ko,The baggage I carried was heavy,ADJ,
nadakdake,big,,,ADJ,
nadalos,clean,Nadalos nan uskilaan,The school was clean,ADJ,
nadalosan,cleaned,Nadalosan ed kwarto,The bedroom was cleaned,VERB,
nadipos,went all the way,Kinmapet sisyan kaiw sunga egay sha nadipos ed baba.,he gripped the tree so he did not fall all the way down.,VERB,
nadismaya,disappointed,,,VERB,
nadosa,punished,,,VERB,
naekdag,fall,,,NOUN,
naey,here,,,ADV,
nagaget,industrious,,,ADJ,
nagasat,lucky,,,ADJ,
nagayad,pulled,,,VERB,
nagolo,mixed up,Sik-a di talged ko isnan nay lubong ay nagolo-golo.,You are my assurance in this chaotic world.,VERB,
naianak,born,,,VERB,
naibaa,asked to go,Naibaa sisya ay mangiey san makan ed payew.,He was asked to bring the foof in the fields.,VERB,
naibabalod,imprisoned,,,VERB,
naibaga,told,,,VERB,
naibalod,imprisoned,,,VERB,
naibasar,based,,,VERB,
naibilang,counted,,,VERB,
naidaton,offered,,,VERB,
naidawat,give,,,VERB,
naidawtan,given,,,VERB,
naidodolin,hidden,,,VERB,
naidolinan,where it was hidden,,,VERB,
naiey,brought by,,,VERB,
naigto,placed,,,VERB,
naiigto,already placed,,,VERB,
naikoyog,joined,,,VERB,
naila,seen,,,VERB,
naimposoan,from the heart,,,NOUN,
nainayad,slowly,,,ADV,
naipaila,shown,,,VERB,
naipaksaw,inconsistent,,,ADJ,
naipeey,already placed,,,VERB,
naisagana,prepared,,,VERB,
naisasagana,already prepared,,,VERB,
naisian,split,,,VERB,
naiskat,replaced,,,VERB,
naisokat,replaced,,,VERB,
naisolat,written,,,VERB,
naitalek,entrusted,,,VERB,
naitalkan,entrusted to,,,VERB,
naitapi,joined,,,VERB,
naitatabon,hidden,,,VERB,
naitatapi,already joined,,,VERB,
naitdo,taught,,,VERB,
naitken,different,,,ADJ,
naitompong,joined,,,VERB,
naiyaan,given,,,VERB,
nakaan,discard,,,VERB,
nakabasol,offended/broke the law,,,VERB,
nakadnge,heard,,,VERB,
nakaila,saw,,,VERB,
nakakan,eaten,,,VERB,
nakakararag,prayed,,,VERB,
nakalakalasi,different/unique/distinct/vary,,,ADJ,
nakalasat,survived,,,VERB,
nakapoy,weak/powerless,,,ADJ,
nakapsot,weak,,,ADJ,
nakarkaro,extent/even more,,,NOUN,
nakasagana,prepared,,,VERB,
nakasgep,entered,,,VERB,
nakaskasdaaw,miracle,,,NOUN,
nakay,aged man,,,ADJ,
nakayang,high,,,ADJ,
nakaykayang,higher,,,ADJ,
nakdeng,finished/done/concluded,,,VERB,
nakdengan,achieve,,,VERB,
nakeey,joined in/ got along,,,VERB,
nakgang,dry,,,ADJ,
nakiasawa,married,,,ADJ,
nakibtot,shocked,,,VERB,
nakiey,got along,,,VERB,
nakigobat,joined war,,,VERB,
nakikali,negotiated/talked,,,VERB,
nakikan,joined the meal,,,VERB,
nakillo,curved,,,VERB,
nakogit,circumcised,,,VERB,
nakoskosan,to scrape/to remove the outerskin of anything by scraping,,,VERB,
nalabas,passed,,,VERB,
nalabi,night,,,NOUN,
naladaw,late,,,ADJ,
naladawen,already late,,,ADJ,
nalaing,smart,,,ADJ,
nalaka,easy,Nangawa-an di Tublay ya Buguias di parten di Atok ay nalaka ay datngan.,The part of Atok that is acessible is between Tublay and Buguias.,ADJ,
nalaklaka,easier,,,ADJ,
nalalaing,smarter,Nalalaing ay man abe san kailyak ay eMayag.,"People from our place, Mayag, are good at weaving.",ADJ,
nalalastog,arrogant,,,ADJ,
nalasang,widowed,,,VERB,
naligat,difficult,,,ADJ,
nalinis,clean,,,ADJ,
nalinisan,cleaned,,,VERB,
nalinteg,lawful,"Simpli ay biyag di nilayad ko, managtungpal sin napoak ya sin ili tako ta makwani ay nalinteg ay anak, manang-eset ay ib-a ya natulnog ay umili.","I had a simple goal in life: to be true to my parents and our country as an honorable son, a caring brother, and a good citizen.
",ADJ,
nalitaw,lost,Nalitaw ak edi nangtaynan ka.,I was lost when you left me.,VERB,
namaga,lost,,,VERB,
namagbaga,sermon,,,NOUN,
namarsua,creator,,,NOUN,
namati,believe,,,VERB,
namekmek,minced,,,VERB,
namgaan,dry,,,ADJ,
namingsan,once,,,ADV,
namistigalan,cause of investigation,,,NOUN,
namnama,hope,,,NOUN,
namnamed,worse,,,ADJ,
nan-itdo,taught,,,VERB,
nanadael,educated,,,VERB,
nanagtag,run,,,VERB,
nanamgaan,already dry,,,ADJ,
nanatey,already dead,,,ADJ,
nanbabawi,regretted,,,VERB,
nanbado,dressed,,,VERB,
nanbalin,it worked,,,VERB,
nanbaliw,changed,,,VERB,
nanbasbasol,sinner,,,NOUN,
nanbasol,sinned,,,VERB,
nanbogaw,shouted,,,VERB,
nandad,walk,,,VERB,
nandan,walked,,,VERB,
nandayaw,worshipped,,,VERB,
nandaydayaw,worshipping,,,VERB,
nangabak,won,,,VERB,
nangagasan,cause of cure,,,NOUN,
nangamag,who did,,,VERB,
nangammo,who knows,,,VERB,
nangan,ate,Nabbay da ay en nangan anap en sika,They were tired looking for you,VERB,
nangato,high,,,ADJ,
nangatongato,too high,,,ADJ,
nangila,saw,Ay sik-a han nangila ken sisya?,Are you the one who saw him?,VERB,
nangina,expensive,,,ADJ,
nangisagana,prepared,,,VERB,
nangisalakan,saved,,,VERB,
nangisolat,wrote,,,VERB,
nangitakin,brought along,,,VERB,
nangitdo,taught,,,VERB,
nangitoloy,continued,,,VERB,
nangiturong,guided,,,VERB,
nangiyat,did,,,VERB,
nango,dry,,,ADJ,
nangwani,Who said so?,,,VERB,
nanipod,until / Started when,,,VERB,
nankababanol,worthy,,,ADJ,
nankakay,old men,,,ADJ,
nankalalaing,intelligent,,,ADJ,
nankali,spoke,,,VERB,
nankalkali,has spoken,,,VERB,
nankangingina,pricey,,,ADJ,
nankanta,sang,,,VERB,
nankaot,dug,,,VERB,
nankararag,prayed,,,VERB,
nankedaw,asked,,,VERB,
nanlames,has fruits,,,VERB,
nanlikliked,did roam around,,,VERB,
nanliniked,did roam around,,,VERB,
nanlobwat,departed,,,VERB,
nanlogan,rode,,,VERB,
nanlogi,started,,,VERB,
nanlokod,measured,,,VERB,
nanlologan,has rode,,,VERB,
nanolisog,tempted,,,VERB,
nanongbat,answered,,,VERB,
nanongpal,obeyed,,,VERB,
nanongtongpal,has obeyed,,,VERB,
nanpaila,appeared / showed up,,,VERB,
nanpakaasi,begged,,,VERB,
nanpakogit,circumcised,,,VERB,
nanpakpakaasi,has begged,,,VERB,
nanpayegpeg,shivered,,,VERB,
nanpili,chose,,,VERB,
nanplano,planned,,,VERB,
nanpoot,asked,,,VERB,
nanriri,complained,,,VERB,
nansagana,got ready/did prepare,,,VERB,
nansaganaan,prepared,,,VERB,
nansakit,get sick,,,VERB,
nansalodsod,asked,,,VERB,
nansapata,made an oath,,,VERB,
nansian,separated,,,VERB,
nansilbi,served,,,VERB,
nansilsilbi,has served,,,VERB,
nansisian,has separated,,,VERB,
nansolat,wrote,,,VERB,
nantabon,hid,,,VERB,
nantalek,trusted,Pinaneknekan na lang ay nankamali ak ay nantalek ken sisya.,He just proved that I was wrong to trust him.,VERB,
nantaoli,returned / came back,,,VERB,
nantauli,returned,Ay nantauli et c ading mu?,Has your sibling returned?,VERB,
nantawen,aged,,,ADJ,
nantee,stayed,,,VERB,
nantetee,has stayed,,,VERB,
nanyegyeg,shook,,,VERB,
naodi,too late,,,ADV,
naolila,orphan,,,NOUN,
naolnos,arranged/,,,ADJ,
naom,riped,,,VERB,
naomel,became mute,,,VERB,
naoneg,deep,,,ADJ,
naosal,used,,,VERB,
naoto,cooked,,,VERB,
napakawan,forgiven,,,VERB,
napakombaba,humble,,,ADJ,
napalabas,past,,,ADJ,
napalti,butchered,,,VERB,
napigpigsa,stronger,,,ADJ,
napigsa,strong,Napno si danom san payew tay inmudan si napigsa.,The fishpond of our neighbour is full of fish.,ADJ,
napigsapigsa,very strong,,,ADJ,
napili,choosy,,,ADJ,
napintas,pretty,Napintas ay balasang nan lydek.,A pretty woman is what I wanted.,ADV,
