Word,English Translation / Meaning,Sentence / Phrase (Kankanaey),Sentence / Phrase (English),POS,662
bagbagaak,i will give advice,Bagbagaak sisya ngem adi umid-idnge.,I am advicing him but he is not listening.,VERB,
bagbagaam,you will give advice,Bagbagaam kad nan kaanakam tan dey sikan ipati na.,Give advice to your nephew as he only listens to you.,VERB,
bagbagaan,he/she will give advice,Naminkaat ay bagbagaan sa si ubing ngem pulos ay tutuwengen na.,That child has been adviced multiple times but it's like he heard nothing.,VERB,
bain,shyness,Maid maamag mu nu bain amin.,You will not be able to do anything if shyness is always put first.,NOUN,
bain,shame,Ay mid bain mu?,Have you got no shame?,NOUN,
baka,might,Itapim et tan baka mankolang.,Add it as it might not be enough.,AUX,
baka,cow,Adu din baka ay napalti din kasar da.,A number of cows were butchered during their wedding.,NOUN,
bakasem,you destroy,"May, bakasem ta magay mausar.","Go, destroy it so there is nothing to be used.",VERB,
bakasen,to destroy,Bakasen da ay ta masukatan.,They are destroying it so it will be replaced.,VERB,
baken,no / not,ammok di liknan di baken sikat ay ipugaw.,I know and feel the problems of ordinary citizens.,INTJ,
bakenak,not me,Bakenak abe si amey yu iilan.,It is not me who you should be focusing on.,PART,
baknang,rich,Baknang kami py si layad.,We are rich in love.,ADJ,
balaan,spring (water source),Emey da nilugaman din balaan.,They went to weed by the spring.,NOUN,
balak,intention,Ay mid balak yu ay amey ed kad-an da Kim?,Don't you have any intention to go to Kim's?,NOUN,
balasang,lady,Balasang di kabayan.,Lady of kabayan,NOUN,
balbaliwan,to change,Balbaliwan na lawa ay amag.,Change your bad ways.,VERB,
balitok,gold,Balitok nan maminminas ed Lepanto.,Gold is being mined at Lepanto.,NOUN,
balo,widow/widower,Nasapa ay nanbalin balo si angkel.,Uncle is a widower early.,NOUN,
balod,prisoner,Adu nan balod ay nakalubos.,Many prisoners were freed.,NOUN,
balodan,prison,Natibker nan balodan ed sidi.,The prison is tough over there.,NOUN,
baloden,to put in prison,Baloden da si Mig tan dey nangakew.,Mig is put to prison due to theft.,VERB,
banag,action/event/happening,Ad-ado ay banag di laydek ay ipaammo.,"There are so many things I want you to know,.",NOUN,
banda,towards,Damagem kad nu adu an dalloyon ed sina ay banda,Go and ask if there are many waves at this side,ADP,
banga,pot,Enka uwasan din banga ta man-uto ka.,Go wash the pot and cook.,NOUN,
bangbanglo,perfume,Labes din bangbanglo asay.,That perfume is too strong.,NOUN,
bangka,boat,,,NOUN,
bangonen,to wake up,Bangonen yo et si ading yo.,Wake your sibling up already.,VERB,
banig,bolo,Inasa na din banig tan manparti sisya si manok.,He sharpened the knife because he will butcher chicken.,ADJ,
banol,worth,Ay wada banol di aritos anay?,Are these earrings worth anything?,ADJ,
banolen,to value,Banolen tako kuma na layad ya pammati ay naidwat ken datako.,Let us value the love and trust given to us.,VERB,
bantayan,to guard,Bantayan da ed eskwelaan ta maid bumalbala nu egay nalpas eskwela.,They are guarding the school so no one leaves before classes are over.,VERB,
baol,chest,Enka alan san baol ay itabtabon da.,Go get the chest they are hiding.,NOUN,
baon,packed food,Nay nan baon yu ta adi kau mauwat.,Here is your packed food so you won't go hungry.,VERB,
baos,curse,,,VERB,
bapor,ship,,,NOUN,
barbaryo,villages,,,NOUN,
bareng,hope so,Bareng makalpas et c manung.,Hoping that brother finishes school already.,NOUN,
baro,new,Ay sha di nan baro ay linteg?,Is that the new law?,ADJ,
baro,single,"Manbali, baro met pylang si manong.","It is possible, my brother is still single.",ADJ,
baro,adolescent male,"Labes, baro et din kito-kitoy ay muyang ed idi.","Amazing, that small child then is already an adolescent.",ADJ,
baruk,your son,Siya ay na nan baruk.,This is my son.,NOUN,
basa,blood,Man-ay-ayos nan basa.,The blood is flowing.,NOUN,
basa,read,,,NOUN,
basaen,to read,Basaen ya awaten ay usto.,Read and understand clearly.,VERB,
basan,how it's read,Ay usto nan basan tuna?,Is his reading correct?,VERB,
basbasol,sins,,,NOUN,
basig,infertile,,,ADJ,
basol,fault,Basol mu di sunga guminek kat.,It's your fault so just shut up.,NOUN,
basol,sin,,,NOUN,
basta,just,Basta maitakin ka ud adi.,Just come along.,ADV,
batbato,rocky,,,ADJ,
bato,rock,Adu han bato ed karayan.,There are many rocks in the river.,ADJ,
batog,across from,Enka san batog di poste ay manseed.,Go and wait across the post.,ADP,
bayad,payment,Nay nan bayad.,Here's the payment.,NOUN,
bayadak,i will pay,Bayadak mtdan.,"Don't worry, I will pay.",VERB,
bayadan,to pay,Bayadan Mama si malem.,My mother will pay for it this afternoon.,VERB,
bayag,slow,,,ADJ,
baybay,sea,Entako ed baybay.,Let's go to the sea.,NOUN,
bebbeey,houses,Maid pulos bebbeey ed igid.,There are no houses at the side.,NOUN,
beddeng,boundary,,,NOUN,
beey,house,Nabobokatan din segpan ed beey,The door at home was left opened,NOUN,
begew,reason,Mankinontra da begew din politika.,They are against each other because of politics.,NOUN,
bemeey,couple who wed / someone who lives in the house,,,NOUN,
bemela,go out,Bemela ka kod si mamingsan.,Go out for once.,VERB,
bemeteng,cause drunkenness,Bemeteng din tapey.,The rice wine causes drunkenness.,VERB,
bengeg,sound / noise of something,,,NOUN,
benget,edge,Mandan ka sin benget di payew.,Walk at the edge of the rice paddy.,NOUN,
biag,life,Ayta et kyman na si biag!,What a life!,NOUN,
bibisaang,piglets,Ay adu bibisaang mu sa ta kumdaw ak c talaknek?,Do you have many piglets there so I can ask one for me to take care of?,NOUN,
biblia,bible,,,PROPN,
bidkingem,carry,Bidkingem ta amey takon dontog.,Carry it and we'll go to the mountains.,VERB,
bigat,tomorrow,Asak kawada ed tean yo c bigat.,I will just appear at your house tomorrow.,NOUN,
bigaw,thirsty,,,ADJ,
bigbigem,to tell with complete details (you),,,VERB,
bigbigen,to tell with complete details (someone),,,VERB,
bigis,larvae,,,NOUN,
bigla,suddenly,,,ADV,
bikas,health,,,NOUN,
bilang,count,,,NOUN,
bilbilig,forests,Naliliwes tako py si bilbilig.,We are sorrounded by forests.,NOUN,
bilbilin,sayings/advices,,,NOUN,
bilbilina,his/her advices,,,NOUN,
bilig,forest,Enda anupan din atap ay ugsa ed bilig.,They will hunt for the wild deer in the forest.,NOUN,
bilin,advice,,,NOUN,
bilina,his advice,,,NOUN,
bilinem,you advice / tell,,,NOUN,
bilinen,to advice / tell,,,NOUN,
bilinena,to advice / tell (you),,,NOUN,
bilko,belt?,,,NOUN,
binadangan,helped,,,VERB,
binadbadangan,has helped,,,VERB,
binadoan,clothed,,,VERB,
binagbagaanas,he has given advice,,,VERB,
binakas,destroyed,,,VERB,
binaliwan,changed,,,VERB,
binalod,put in prison,,,VERB,
binasa,read,,,VERB,
bindisyon,blessing,,,NOUN,
bindisyonak,to bless (1st POV),,,VERB,
bindisyonam,to bless (2nd POV),,,VERB,
bindisyonan,to bless,,,VERB,
bindisyonana,to bless (3rd POV),,,VERB,
bindisyonanas,for him/her to bless someone,,,VERB,
bineteng,made drunk,,,VERB,
bingay,share,,,NOUN,
binigbig,recognized,,,VERB,
binilin,gave advice,,,VERB,
binilina,gave advice (2nd POV),,,VERB,
binilinas,gave advice to someone (2nd POV),,,VERB,
binindisyonan,gave blessing,,,VERB,
binindisyonanas,gave blessing to,,,VERB,
binisngit,torn,,,VERB,
binistigal,investigated,,,VERB,
binmaba,went down,Kaman ka anghel ay binmaba san lubong malpo ed langit.,You are like an angel who down to this world from heaven.,VERB,
binmabaktad,lying down,,,VERB,
binmadang,helped,,,VERB,
binmaknang,got rich,,,VERB,
binmaktad,laid down,,,VERB,
binmala,went out,Binmala da ed nalabi ay nakigagayam ken da Mark.,They went out last night to go bond at Mark's.,VERB,
binmalaan,came out from,Id likod nan binmalaan manung.,Brother went out from the back.,VERB,
binmangon,got up / woke up,,,VERB,
binmasol,committed a sin,,,VERB,
binmasolak,i committed a sin,,,VERB,
binmaybay-an,let me be,Binmaybay-an et si manung manipud din nan-apaan me.,My brother let me be since we had an argument.,VERB,
binmaybay-an,abandoned,"Binmaybay-an da yan, nabayag et.","They have abandoned me, it's been so long already.",VERB,
binmela,went out,Binmela ka abe et nadipos kan bilig.,You went out and ended up at the forest.,VERB,
binmelaam,reason for going out,Ay sha upy abe bimelaam sa?,So that is why you went out?,VERB,
binmolinget,got dark,Binmolinget et asikapy sumasaa.,It already got dark before you came home.,VERB,
