Pangasinan Word,Root Word/Lemma,English Equivalent,Part of Speech (POS) Tag
liñgét,linget,"perspiration, sweat",NOUN
líñggas,linggas,"beauty, neatness",NOUN
linggis,liñggís,"teasing, flirtation",NOUN
líñggis,linggis,to exchange glances,V
liñgó,lingo,"to err, mistake",NOUN
liñguán,lingwan,"to forget, be unmindful",NOUN
línis,linis,to clean,V
linkór,linkor,"service, to wait upon, serve ",V
línya,linya,"line, be in line, arrange in a line",NOUN
lipák,lipak,sound produced by palm when hands are clapped,NOUN
lipát,lipat,"transfer a house  to another site, move to another house, to disappear from one’s sight, memory, ",V
lipáy,lipay,"to flatten, press down on, to plaster",NOUN
lipoñg,lipong,plate,NOUN
lipós,lipos,"to cover entirely, especially of flood water submerging crops and land",ADJ
lípot,lipot,treachery,V
lírio,liryo,lily,NOUN
liwág,liwag,"delay, postponement, diversion, recreation",NOUN
liwás,liwas,to leave what one is doing for a while,V
líwat,liwat,"absence, to fail to do one’s work or duty, miss, be absent ",V
liwawa,liwáwa,light,NOUN
liwáwa,liwawa,"brightness, clarity",V
liway,liway,become clear ,NOUN
liyanÉra,liyanera,"mold, baking pan",NOUN
loáng,loang,a oló mentally deranged,NOUN
loáñg,loang,"to reduce the amount of liquid in a container, diminish, clear up",V
lobír,lobir,"rope, string",NOUN
loblób,loblob,to revive a fire or make it flare up by putting on more wood,V
lobók,lobok,"grave, tomb",NOUN
lobós,lobos,"to buy land or goods for sale in their entirety, leaving nothing for others",ADJ
logán,logan,"to travel, ride on ",NOUN
logánan,logan,vehicle,NOUN
lógay,logay,to take off one’s hat when greeting someone,NOUN
lógi,logi,"loss in transaction, bankruptcy",ADJ
loklók,loklok,"clean a hole, cavity, or tube with a stick or rod",V
lóko,loko,"to fool, play a practical joke",NOUN
lokób,lokob,"to surround, encircle, cover oneself completely, to cheat in a card game",V
lokót,lokot,"to roll paper, leaves, ",V
lókoy,lokoy,plough,ADJ
loksó,lokso,to jump with feet together ,V
lólot,lolot,"to carry out, persist",NOUN
lóma,loma,deep marsh,NOUN
lómba,lomba,running race,NOUN
lombóy,lomboy,a tree with black-skinned purple fleshed fruit similar in shape to a large olive,NOUN
lómo,lomo,"loin, tenderloin ",NOUN
lompós,lompos,"ninth day after burial, to observe ",V
loñgón,longon,coffin,NOUN
lonlón,lonlon,"to stuff one’s mouth with food, gluttony, voracity",V
lonós,lonos,pensive,NOUN
loób,loob,"inside, come inside, enter, to rob inside a house",NOUN
loók,look,"estuary, lake",NOUN
lóor,loor,"to abuse, become worse, deteriorate ",NOUN
lópak,lopak,"break off, break up",NOUN
lópda,lopda,"saliva, to spit ",V
loplóp,loplop,"to suck eggs, ",V
lopók,lopok,"weak, not sturdy, worn out",NOUN
lópot,lopot,"cloth, rag",V
lorém,lorem,"cloud, become cloudy ",NOUN
losék,losek,"post, pillar",NOUN
loslós,loslos,"lower something or let something slip off little by little, allow a boat to drift with the current, lower oneself with the aid of a pole",V
lósob,losob,to prick the foot on a thorn or spine,V
losók,losok,"stomach, abdomen",NOUN
losór,losor,"cup, mug",NOUN
lótang,lotang,"dislocate, come out of place",NOUN
lotó,loto,"to cook, to ripen ",V
luá ,lua,"tears, to eject from the mouth, poke out one’s tongue",V
luág,luag,to boil ,ADJ
lualiket,likét,"joy, happiness",NOUN
luás,luas,to go to town ,V
lúba,luba,"to grind rice for a second time, allowance in size or hem of clothes made for growing child",NOUN
ludlúd,ludlud,to strike with the legs,V
lugá,luga,"matter, foul smelling secretions in the ear",NOUN
lugar,lugar,place,NOUN
lugít,lugid,"tolerance, allowance given in competitive game, to abandon one’s responsibilities to one's children, allowing them to do what they like",V
luglúg,luglug,"to clean a bottle, vase,  inside by pouring in some water and shaking it for a while",V
lukás,lukas,"to open, uncover",V
lunák,lunak,scald,ADJ
lunário,lunaryo,almanac,NOUN
lúnEs,lunes,Monday,NOUN
lupa,lupá,"face, surface",NOUN
lúpa,lupa,"countenance, face, facade",NOUN
lúpad,lupad,"to walk clumsily, tending to stumble or trip up",V
luto,lúto,cooked food,NOUN
luyag,luyag,province,NOUN
lúyag,luyag,province,NOUN
mabaýag,bayág,"long, slow",ADJ
mabayani,báyan,heroic,ADJ
mabetbet,betbet,"frequent, often",ADV
mabetbét,betbét,"cold, cool",ADJ
mabiláy,biláy,"price, value, expense ",ADJ
mabiskég,biskég,"strong, inflexible",ADJ
mablí,bilí,"education, advice, counsel",ADJ
mabólo,mabólo,tree,NOUN
maboñgá,boñgá,"bearing fruit, laden",ADJ
mabuná,buná,"lush, luxuriant in growth",ADJ
macÉtas,macÉtas,plant,NOUN
mádre,mádrE,nun,NOUN
madrino,madríno,"woman who is a sponsor at a baptism, wedding",NOUN
maestra,maÉstra,teacher,NOUN
maÉstro,maÉstro,teacher,NOUN
magá,magá,"to dry, wither",V
magálang,gálang,"respectful, polite ",ADJ
magámagá,magá,dryness,NOUN
magána,gána,"beautiful, pretty ",ADJ
magangána,gána,"quite nice, not too bad ",ADJ
maganó,ganó,"for a minute, shortly ",ADV
magápil,gápil,thin,ADJ
magayága,gayága,"happy, joyful  ",ADJ
magayágay,gayágay,gayágay,ADJ
magenáp,genáp,"ample, sufficient ",ADJ
magistrádo,magistrádo,"magistrate, judge",NOUN
magnáyon,náyon,"forever, till the very end, lasting",ADV
maiñgál,iñgál,"rowdy, excessively noisy",NOUN
mainomáy,inomáy,"easy, free of difficulty",ADJ
maírap,írap,"difficult, emotionally hard",ADJ
mais,maís,"corn, maize",NOUN
makabaliksan,balíksan,"meaningful, substantial",ADJ
makagkatinapa,katinápa,stumble,V
makakaibég,ibég,"jealousy, possessiveness",NOUN
makana,makána,"useful, beneficial",ADJ
makapakasawá,sawá,"dull, boring",ADJ
makapál,kapál,thick,ADJ
makapaquelao,akelaw,"surprising, amazing",ADJ
makapasinagém,sinagém,cause of grief,NOUN
makapesel,pesél,"strengthening, firming",ADJ
makarengel,réñgel,one who hears,NOUN
makarinyó,karinyó,"affectionate, romantic",ADJ
makasabi,sábi,"can reach, will arrive",V
makasakit,sakit,"causing pain, painful",ADJ
makásel,kásel,able to express feelings ,ADJ
makasil,siksíl,"strong, forceful",ADJ
makatalos,talós,one who understands,NOUN
makataluna,talúna,"successful, victorious",ADJ
makatambal,tambál,capable of being healed,ADJ
makdél,del,"thick of forest, growth",ADJ
makeréw,kerew,"always, often asking or begging",ADJ
mákina,mákina,"sewing machine, machine",NOUN
makinilya,makinilya,typewriter,NOUN
makipa,íka,"to be capable of, can do",AUX
makmák,makmák,covering of leaves on a seed bed,NOUN
makolí,koli,"industrious, diligent, patient",ADJ
mákpel,mákpel,brave,ADJ
malaem,laém,"deep, profound",ADJ
malága,malága,a variety of pompano,NOUN
malamang,lamáñg,"greedy, avaricious",ADJ
malapáti,malapáti,pigeon,NOUN
malasádo,malasádo,"to half cook, soft boil",V
malasi,lasí,"lustful, greedy",ADJ
malét,malét,"durable, tight",ADJ
máli,máli,superstition,NOUN
maligno,malígno,evil spirit,NOUN
maliket,likét,"happy, joyous",ADJ
malinak,linák,"calm, peaceful",ADJ
malinew,línew,"clear, transparent",ADJ
máliw,máliw,"become, change from one state or form to another",V
malukak,lukák,"soft, tender",ADJ
máma,máma,man of parents' generation,NOUN
mamaírap,írap,the poor,NOUN
mamaorán,orán,rainy season,NOUN
mámbo,mámbo,"mambo, dance",NOUN
maminlabínsakéy,sakéy,eleven times,NUM
mamoyok,puyók,"caresses, hugs",NOUN
mamúra,múra,"cheap, inexpensive",ADJ
man,man,"also, even",PART
manaaraw,áraw,"advancing, spreading",V
managsóñgpa,soñgpá,member of the opposition party,NOUN
managtó,agtó,to carry on the head,V
manáhit,áhit,to shave,V
manakoál,akoál,to put on the lap,V
manalagár,alagár,to wait,V
manalíliñg,alíliñg,to be like or comparable,V
manamés,amés,to bathe,V
mananám,nanám,"savory, tasty",ADJ
manánap,anáp,"to seek, look for",V
manándap,ándap,to flicker,V
manándo,ándo,to endure,V
manangaro,aró,loving,NOUN
manañgés,añgés,to breathe,V
manangilaban,labán,one who defends,NOUN
manáni,áni,to harvest,V
manapág,apág,to share equally,V
manapís,apís,to coat or cover with something,V
manásikáso,ásikáso,to take care of a child,V
manatagey,tagéy,"to become high, increase",V
manátol,átol,to keep,V
manáya,manáya,"so it is, indeed",ADV
manbabbabawi,báwi,repenting,V
manbalábag,balábag,to sleep under the same blanket,V
manbalikás,balikás,to pronounce,V
manbása,basa,to read,V
manbáyo,báyo,to cultivate,V
manbeká,beká,to dig camote,V
manbélyag,bélyag,to shout,V
manberbér,berbér,bundle,NOUN
manbiahe,biáhe,to travel,V
manbíi,bíi,to commit suicide,V
manbílañg,bílañg,to count,V
manbisíbis,bisíbis,to sprinkle water by hand,V
manbosádo,bosádo,throw a tantrum,V
manbukbukor,bukor,"to be alone, solitary",V
mandedeel,deñgél,listening,V
mandilat,dilát,to lick,V
manepeg,népeg,"necessary, proper",ADJ
manepég,nepég,adequate,ADJ
maneyag,téyag,"to shout, yell",V
mangabiáng,gabiáng,to tear something violently,V
mangálang,gálang,to respect ,V
mangaláw,galáw,to play,V
mangálip,gálip,to slice,V
mangámor,gámor,to bewitch,V
mangan,kakan,to eat,V
mangánat,gánat,to hurry,V
manganchílyo,ganchílyo,to crochet,V
mangangán,gangán,"to order, to direct ",V
mangangga,áñgga,"to end, finish",V
mangánilgil,gánilgil,"speak in a broken voice, speak in trembling voice ",V
mangáor,gáor,to row a boat,V
mangastós,gastós,to spend,V
mangátgat,gátgat,to chew ,V
mangawá,gawá,make,V
mangáyat,gáyat,to slit,V
mangebá,gebá,to destroy,V
mangergér,gergér,"to cut, to clise",V
mangetél,getél,"to gather, to pluck, to pick ",V
mangga,mangga,mango,NOUN
mangíling,gíling,to grind,V
mangímper,gímper,"to save, thrifty",V
mangiparungtal,paruñgtál,"to express, reveal",V
mangirí,girí,affected by skin disease ,V
mangisá,gisá,to saute,V
mangíwgiw,gíwgiw,to tremble ,V
mangmáng,mangmáng,"ignorant, illiterate, uneducated",ADJ
mangolígol,golígol,to have a fever,V
mangólis,gólis,"to make, draw a line",V
mangoló,goló,"to disrupt, ruin, make trouble",V
mangonígon,gonígon,be troubling,V
mañgoopisína,opisína,office workers,NOUN
mangóra,góra,to put on a hat,V
mangorábis,gorábis,to strike a match,V
mangorágor,gorágor,to rub,V
mangoyór,goyór,"to pull, drag ",V
manguántEs,guántEs,to put gloves on,V
manguárdia,guárdia,to guard,V
mangúgu,gúgu,"to rub, to scratch",V
mangústo,gústo,to like someone,V
maní,maní,peanuts,NOUN
maníba,íba,help,V
manígar,ígar,to grate,V
maniingal,íñgal,making noise,V
manikál,ikál,to abort,V
manikamén,ikamén,sleep on a mat,V
manilálak,ilálak,"to have children, direct descendants",V
manilálo,ilálo,expect,V
maniláp,iláp,to cut finely,V
manilít,ilít,to confiscate,V
manilót,ilót,"to massage, to rub gently",V
manilwán,ilwán,be accustomed to,V
manimásmas,imásmas,relax,V
manímis,ímis,to smile,V
manimprÉnta,imprÉnta,to print,V
maninagém,inagém,be sick,V
maninám,inám,to crave,V
manínap,ínap,to suspect,V
manináwa,ináwa,to rest,V
maninbitá,inbitá,to invite,V
manIndEpEndiÉntE,indEpEndiÉntE,to be an Aglipayan,V
maniñgát,iñgát,to pick one’s teeth,V
maninót,inót,consume something slowly,V
maninsúlto,insúlto,to insult,V
manírap,írap,suffer,V
manísip,ísip,to think,V
manisís,isís,to scour,V
manisnéto,isnéto,to adjust to something,V
manitér,itér,to give,V
mankalkalinatey,kalinát,dying,V
mankasasakeyan,sákasakey,being united,V
mankitebkiteb,kiteb,twinkling,V
mankulagtit,kulagtit,to chirp loudly,V
manmulmulagat,mulágat,staring wide-eyed,V
manók,manók,"bird, fowl, chicken",NOUN
manontondalan,tondálan,one who follows/leads,NOUN
manóoléy,oléy,"people in power, authorities",NOUN
manooran,urás,to wash,V
manpabiskeg,bískeg,to strengthen,V
manpasimbalon,simbaló,to renew,V
mansamyong,sámyañg,"scent, odor",V
mansotsot,sotsot,"whispering, hissing",V
mantika,mantika,"cooking oil, fat, grease, lard",NOUN
mantikilya,mantikilya,butter,NOUN
mantitit,tit,"to peep, make a small noise",V
manwalsík,walsík,to sprinkle,V
manyagyág,yagyág,to fall,V
manyókyok,yókyok,to wash something,V
manyosáos,yosáos,to tell,V
maogés,ogés,bad,ADJ
maomít,omít,having no appetite,ADJ
maóng,maóng,"good, something good",ADJ
maoték,oték,brainy,ADJ
maotók,otók,pointed,ADJ
mapága,pága,"worried, distressed",ADJ
mapalna,palná,"gentle, soft",ADJ
mapalpalna,palna,"very slow, slowly (Reduplicated/Intensive)",ADV
marikit,marikit,young lady,NOUN
marikít,marikit,"maiden, girl of marriageable age",NOUN
marleng,marlén,"slow, gentle",ADJ
márso,márso,March,NOUN
martÉs,martÉs,Tuesday,NOUN
marunggay,marunggay,"tree with leaves and fruit, green vegetables",NOUN
mása,mása,to mold,V
masakbáy,sakbáy,early,ADJ
masamit,sámit,sweet,ADJ
masamít,samít,"sweet, palatable, agreeable, sugar",ADJ
masantíng,santíng,"nice, pleasant",ADJ
masantos,sántos,"holy, blessed",ADJ
masantós,santós,"blessed, good",ADJ
masarag,sarág,"capable, able",ADJ
masarág,sarág,"able to do, having necessary resources",ADJ
masayá,sayá,"lively, happy, full of gaiety",ADJ
masayaksák,sayaksák,"happy, contented, in festive mood",ADJ
masegáng,segáng,"acute, severe",ADJ
masibá,sibá,voracious,ADJ
masibóg,sibóg,"brave, cruel",ADJ
masiglát,siglát,"speedy, prompt",ADJ
masikén,sikén,"grown up, old man",ADJ
masile-sileng,siléng,very bright,ADJ
masílib,sílib,"wise, astute",ADJ
masimoón,simoón,"complete, whole, devoted",ADJ
masinagém,sinagém,sympathetic,ADJ
masitÉra,masitÉra,flower pot,NOUN
máskin,máskin,"needed, important",ADJ
masnág,sínag,"bright, brilliant ",ADJ
masolók,solók,"more than sufficient, more",ADJ
masyado,masyádo,too much,ADV
masyal,masyádo,"too much, excessively",ADV
matá,matá,eye,NOUN
matabíl,tabíl,garrulous ,ADJ
matabotaból,taból,juicy,ADJ
matak,matá,my eye,NOUN
matakew,tákew,"stealing, thief",V
matakkén,takén,adult,ADJ
matalinó,talíno,"intelligent, wise",ADJ
mataluna,talúna,"successful, victorious",ADJ
may,may,the,PART
mayá,Imayá,"wait, keep watch for a while",V
mayáman,yáman,wealthy,ADJ
mayámayá,mayámayá,shower of rain,NOUN
mayayaman,yáman,wealthy,ADJ
mayománg,yománg,"commonplace, deprecated",ADJ
mayonísa,mayonísa,"mayonnaise, salad dressing",NOUN
mayos,maóng,"good, well",ADJ
médias,médias,"stockings, socks",NOUN
medical,medical,medical,ADJ
mekmék,mekmék,"to pound into pieces, pulverize",V
melág,melág,"little, small",ADJ
melagmelagen,mélag,"to belittle, scorn",V
mElokotón,mElokotón,apricot,NOUN
menéng,menéng,to be without anything to talk about,V
mEnúdo,mEnúdo,"meat, fish dish with tomato, onions, chick peas, green peas, potatoes and raisins, cooked in tomato sauce",NOUN
merémeré,merémeré,to murmur,V
mEriÉnda,mEriÉnda,"between meal snack, afternoon tea, light meal offered guests",NOUN
mesmés,mesmés,to squeeze between the hands or arms,V
met,met,"also, too",PART
mi,mi,our,PRON
miércoles,miércoles,Wednesday,NOUN
migalaw,galáw,to play,V
mikaşi,ikási,"to plead, pray",V
mikasiám,siám,ninth,NUM
mikmík,mikmik,"crumb, morsel",NOUN
mikngit,míkngit,grunt,NOUN
mikokotoan,kúto,"delousing, picking lice",V
mikroponó,mikroponó,microphone,NOUN
milyón,milyón,million,NUM
min,min,our,PRON
minístro,ministro,minister,NOUN
minodÉnsia,minodÉnsia,innards of animal,NOUN
minóto,minóto,"minute, time",NOUN
mínsan,mínsan,once only,ADV
mínto,,"confirm, verify",V
minuto,minúto,minute,NOUN
mísa,mísa,mass,NOUN
mísa de gallo,misa,mass said at the pre-dawn cock crow on the nine days preceding Christmas,NOUN
mísis,mísis,wife,NOUN
mísmis,mísmis,to break up poorly made pots or jars,V
míting,míting,"conference, meeting",NOUN
miy,miy,linker/plural marker,X
mo,mo,"you, your",PRON
mogmóg,mogmóg,"melt, disintegrate, rotten wood",NOUN
mokmók,mokmók,people gossiping,NOUN
mokomók,mokomók,"powder, gold dust",NOUN
moling,molíng,"face, cheek",NOUN
molmól,molmól,"to keep in the mouth to dissolve, suck thumb or finger",V
mómo,mómo,"infection in the mouth making it difficult for the person affected to eat, become dull or blunt",NOUN
mon,mon,your,PRON
mória,mória,"to give or hand to speaker, take note of something near at hand",V
móromóro,móromóro,"folk dramas, pantomime",NOUN
moskitÉro,moskitÉro,mosquito net,NOUN
móyong,móyong,"association, club, gang, something held in common",NOUN
muchácha,muchácha,servant,NOUN
muchácho,muchácho,servant,NOUN
múlta,múlta,"fine, penalty, to fine",NOUN
mundo,múndo,"world, earth",NOUN
múndo,múndo,"world, earth",NOUN
município,município,municipal hall,NOUN
múra,múra,something cheap,NOUN
músico,músico,music,NOUN
musmús,musmús,stupid,ADJ
na,na,particle/linker,X
naalagar,alagár,waited for,V
naandi,ándi,disappeared,V
naandila,ándila,may it disappear,V
naáni,naáni,"later on, after",ADV
naaruman,arum,"added to, increased",V
nabangatan,báñgat,"to be taught, learned",V
nabaya,báya,"to be left behind, delayed",V
nabuás,buás,tomorrow,NOUN
nacionál,nacionál,national,ADJ
naerasan,eras,"to reach the edge, limit",V
naerel,érel,"to catch, overtake",V
nagkalálo,lalo,most especially,ADV
nagkasikasítmat,sítmat,"many, different kinds",ADJ
nágnag,nágnag,slow in working,ADJ
nagngel,réñgel,heard,V
nagonóyan,gonóy,"by and by, later on ",ADV
naguguluan,guló,"confused, troubled",V
naigulis,gúlis,"to be drawn, traced",V
naikdan,iter,was given,V
nailwán,ilwán,"habit, addiction",NOUN
naitdán,itér,given,ADJ
nakal,nakál,"lost, removed",V
nalibangan,líbang,"entertained, occupied",V
nalinggis,líñggis,"was teased, flirted with",V
nan,nan,linker particle,X
nána,nána,term of address for woman of mother's generation,NOUN
nanám,nanám,"savor, taste appreciatively",V
nánay,nánay,term of address for one's own mother,NOUN
nanbasingkawel,basiñgkawél,"tangled, twisted together",V
nandedengel,déñgel,listening,V
nanengneng,néñgeng,"was seen, seen",V
nanenengneng,nengneng,"is seeing, visible (Progressive aspect)",V
nanlapuan,lápua,"origin, starting point",NOUN
nanonot,nónot,"thought, recalled",V
naogíp,ogip,"asleep, sleeping",ADJ
napanpilian,pili,can be chosen from,NOUN
napareen,reén,"to be calmed, pacified",V
napasimbaloy,simbaló,"to renew, restore",V
napnoy,napnó,full of,ADJ
napultot,pultot,"to be cut off, terminated",V
narel,rél,"was able to, managed to",V
narengel,réñgel,was heard,V
nasnás,nasnás,rice grains,NOUN
natan,natán,"now, today",ADV
nátan,nátan,"now, today",ADV
natetelek,telek,"gazing, staring",V
natulungan,tulónng,to be helped,V
nauksoy,uksoy,"arranged, put in order",V
naurasan,urás,to be washed,V
nawá,nawá,"have sufficient space, time",V
nawnáw,nawnáw,"dissolve, diminish in volume as sugar, salt, etc. when exposed to the atmosphere",V
nayari,yári,"possible, able",ADJ
nayári,yári,"possible, able",ADJ
naynáy,naynáy,"often, habitually, always",ADV
náyon,náyon,"continue, persist in plan or activity",V
nen,nen,"when, marker",PART
nengneng,néñgeng,"to look, see",V
nengnéng,neñgnéng,"to look at, see",V
nenná,nenná,"pus, matter in wound or sore",NOUN
nepeg,népeg,"proper, necessary",ADJ
nepég,nepég,"utmost expectation, most that could be gained",NOUN
nérs,nérs,nurse,NOUN
ngali,ngalí,"almost, perhaps",ADV
ngaray,ñgáray,name,NOUN
nguro,ñgóro,"end, tip",NOUN
ni,ni,"yet, still, another",AUX
nía,nía,here,ADV
nibabawag,babáwag,"proclaimed, announced",V
nilutó,nilutó,cooked rice,NOUN
níman,níman,"there, away from speaker and addressee",ADV
nímán,nimán,"then, a while ago",ADV
nimay,nimay,that,DET
nínang,nínang,"godmother, wedding, confirmation sponsor",NOUN
ningneng,néñgeng,"to look, see",V
ningningen,nengneng,"to see, look at (Future/Contemplated)",V
nínong,nínong,"godfather, wedding, confirmation sponsor",NOUN
nióg,nióg,coconut,NOUN
nipaakar,ákar,"concerning, about",ADP
nipeg,népeg,"necessary, proper",ADJ
nipeg,nepeg,"should, ought to",V
nipulisay,pulísay,"to be removed, pushed aside",V
niseñgég ed,sengég,"because of, pertaining to",ADP
nísnís,nísnís,"broom, brush",NOUN
nítan,nítan,"there, near addressee",ADV
niya,niyá,here is,PRON
no,no,"if, when",SCONJ
no aróm,no aróm,sometimes,ADV
nonot,nónot,"thought, mind",NOUN
nónot,nónot,"intend, think, remember, recall, intention",V
nótnót,nótnót,manner of chewing of small children or older persons without teeth,NOUN
noventa,noventa,ninety,NUM
noviembre,noviembre,November,NOUN
nuÉve,nuÉve,nine,NUM
o,o,or,CCONJ
oáb,oáb,to yawn,V
obák,obák,"bark, skin of tree, peeling of banana, rind of orange",NOUN
obán,obán,"greyish hair, white hair",NOUN
obligación,obligación,obligation,NOUN
oból,oból,sharpened,ADJ
obóng,obóng,nest,NOUN
obras,obras,works,NOUN
ocasión,ocasión,"occasion, event",NOUN
ochenta,ochenta,eighty,NUM
ócho,ócho,eight,NUM
ocupación,ocupación,occupation,NOUN
odiém,odiém,"dim, dark",ADJ
ogágep,ogágep,"ambition, hope, purpose, to wish",NOUN
ogáli,ogáli,"custom, character",NOUN
ogáw,ogáw,"child, maid, houseboy",NOUN
ogés,ogés,evil,NOUN
ogíp,ogíp,"sleep, to sleep",V
ógong,ógong,to thunder,V
ógpos,ógpos,"to release, untie",V
ogto,ógtu,noon,NOUN
ogtó,ogtó,noon,NOUN
ókbar,ókbar,"to untie, release",V
okén,okén,puppy,NOUN
okók,okók,cough,NOUN
okól,okól,"necessity, obligation",NOUN
okóm,okóm,court,NOUN
ókoy,ókoy,"dish made from squash, mongo sprouts, shrimp, bean cake, etc.",NOUN
ókra,ókra,okra,NOUN
olágey,olágey,appearance,NOUN
olám,olám,fire,NOUN
olaól,olaól,"very sensitive, weeping easily",ADJ
olát,olát,vein,NOUN
olég,olég,snake,NOUN
olés,olés,blanket,NOUN
oléy,oléy,"be empowered, responsible",V
olí,olí,"to return, become resurrected",V
olíbay,olíbay,"equality, be equal, similar",ADJ
olilá,olilá,orphan,NOUN
olíolí,olí,"once more, mention something repeatedly",ADV
olipét,olipét,ask,V
ólit,ólit,"to repeat, again",V
ólnos,ólnos,"young stems of camote, bitter melon, etc. which are picked and eaten as vegetables",NOUN
oló,oló,head,NOUN
olóp,olóp,"to accompany, go together",V
olpó,olpó,"upper leg, thigh",NOUN
omámeñg,omámeñg,"to scrutinize, stare at, consider",V
omán,omán,"to change, repair, repeat",V
ombangon,bañgón,"to rise, wake up",V
ombés,ombés,"late maturing variety of rice, be late",ADJ
omít,omít,to eat little,V
ompelnak,pelnak,"to shine, emerge",V
on,on,"yes, linker particle",X
ón,ón,yes,INTJ
oná,oná,"first, do first",ADJ
onaakolaw,akuláw,to become an adult woman,V
onáan,oná,first in order,ADJ
onaaraw,áraw,"to advance, spread",V
onabét,abét,to meet,V
onagága,agága,"attracted, become attracted",V
onakís,akís,to cry,V
onalagéy,alagéy,to stand,V
onát,onát,"to spread, stretch",V
onbalikát,balikát,to carry on the shoulders,V
onbáñgón,bañgón,"to arise, wake, get up from bed",V
onbántag,bántag,"to see, watch",V
onbantáy,bantáy,to watch,V
onbasíl,básil,"to go out, go away",V
onbasis,básis,to sneeze,V
onboboyág,boyág,"time of growth, growing season",NOUN
onboñgá,boñgá,to bear fruit,V
onbotáw,botáw,"to return, be present after a long time",V
onboyák,boyák,"to spread, scatter evenly",V
onbuná,buná,"to be of abundant growth, lush, verdant",V
ondarakel,dakél,"to increase, become many",V
ondengel,deñgél,to hear,V
ongalaw,galaw,to move,V
ongalís,galís,become slippery,V
ongána,gána,become beautiful ,V
ongánat,gánat,be in a hurry,V
ongapó,gapó,to start,V
ongatél,gatél,become itchy,V
ongawing,gawing,to be connected,V
ongayága,gayága,to become happy ,V
ongesáng,gesáng,to vanish,V
oñgét,oñgét,cruel,ADJ
ongilíg,gilíg,put at the edge,V
ongítgit,gítgit,to insist ,V
óñgol,óñgol,"roar, to roar",V
ongótgot,gótgot,to make trouble,V
ongóyaét,góyaét,to become jealous,V
onibég,ibég,fall in love,V
onikbán,ikbán,become free,V
onilák,ilák,turn around,V
onilíw,ilíw,be homesick,V
onilóp,ilóp,to sip,V
onimbél,imbél,"to be hurt, offended",V
onímeng,ímeng,become warm,V
onináwa,ináwa,"be comfortable, better off, live comfortably",V
oniñgál,iñgál,"make noise, shout",V
oniñgás,iñgás,be out of breath,V
oninóm,inóm,to drink,V
oninomáy,inomáy,become easy,V
onipét,ipét,become tight,V
onírap,írap,be difficult,V
oniróñg,iróñg,to sit,V
oníwas,íwas,"to shift position, to shift something",V
onmán,man,like that,ADV
onniningneng,néñgeng,"to look, see",V
ono,óno,or,CCONJ
onong,onóñg,"like, similar to",ADP
onóñg,onóñg,"as, just as, according",ADP
onoogaw,ugáw,to remain a child,V
onor,onor,"last in sequence, late",ADJ
onór,onór,to obey,V
onsabi,sábi,"to arrive, come",V
onsalát,salát,next,ADV
onsasakit,sakit,becoming painful,V
ónse,ónse,eleven,NUM
onsóno,sóno,next,ADV
ontan,ontán,"like that, thus",ADV
ontán,ontán,"like that, in that way, to be the case",ADV
onto,ónto,what is,PRON
óntog,óntog,jolt,NOUN
ontolos,talós,to understand,V
onyókyok,yókyok,to bow the head in discouragement,V
onyómbang,yómbang,"cured, to heal, become better",ADJ
óong,óong,mushroom,NOUN
opá,opá,"what, who",PRON
opápet,opápet,"question, ask",V
opígan,opígan,a small low table,NOUN
opisína,opisína,office,NOUN
ópit,ópit,advice,NOUN
opót,opót,to consume completely,V
oprEcÉ,oprEcÉ,to consume completely,V
oradór,oradór,orator,NOUN
orán,orán,rain,NOUN
oráñg,oráñg,shrimp,NOUN
oras,oras,"hour, time",NOUN
orás,orás,"to wash, clean by washing",V
óras,óras,"hour, time",NOUN
orasión,orasión,angelus,NOUN
ordÉn,ordÉn,tonsure,NOUN
ordinánza,ordinánza,ordinance,NOUN
ordinaryo,ordinaryo,ordinary,ADJ
oriém,oriém,lone,ADJ
oríñg,oríñg,charcoal,NOUN
órno,órno,oven,NOUN
óro,óro,reddish brown,ADJ
órot,órot,falling of the hair esp. as a result of sickness,NOUN
ósdoñg,ósdoñg,to bow the head,V
osíl,osíl,to run after,V
osísa,osísa,to ask information,V
ósli,ósli,to stick out,V
osós,osós,"dues, forced general contribution, demand",NOUN
ospitál,ospitál,hospital,NOUN
otá,otá,to vomit,V
ótang,ótang,"bill, account, debt",NOUN
oték,oték,"brain, brains",NOUN
otél,otél,"inside, at the heart or center",NOUN
otiágew,otiágew,late in the day,ADV
otít,otít,last,ADJ
óto,óto,automobile,NOUN
ótob,ótob,to distribute,V
otók,otók,point of a knife,NOUN
otót,otót,"rat, mouse",NOUN
ótro,ótro,stupid,ADJ
ovaló,ovaló,oval,ADJ
owák,owák,crow,NOUN
oy,oy,hey,INTJ
oyós,oyós,"to draw out something essential from within an object, to pull out",V
óyot,óyot,"to observe keenly, study attentively",V
pa,pa,"still, yet",PART
pabayés,bayés,to pound,V
pabebá,bebá,be held,V
pabitlá,bitlá,riddle,NOUN
padér,padér,wall,NOUN
pádpar,pádpar,shipwreck,NOUN
pádrE,pádrE,"priest, father",NOUN
padríno,padríno,"male sponsor at a wedding, baptism",NOUN
pag-asa,pag-ása,hope,NOUN
paga,pága,"worry, concern",NOUN
pága,pága,"anxiety, state of worry",NOUN
pagalótan,galót,printing press,NOUN
pagás,pagás,hoarse,ADJ
pagátin,pagátin,special wedding celebration,NOUN
